Date,ATI,ATI_NIL,CONTRACTS,CONTRACTS_NIL,CONTRACTS_AGG,GRANTS,GRANTS_NIL,RECLASS,RECLASS_NIL,TRAVELA,TRAVELQ,TRAVEL_NIL,HOSP,HOSP_NIL,DAC,QP_NOTES,BN,WRONGDOING,SUM
Tue Oct 06 12:10:10 2020,24011,961,723231,40,202,424717,92,7061,423,218,69837,526,19505,966,1131,1190,26068,22,1300201
Wed Oct 07 12:10:48 2020,24109,963,723231,40,203,424719,92,7063,425,219,69837,528,19505,968,1131,1190,26068,22,1300313
Thu Oct 08 11:59:59 2020,24149,963,723231,40,204,424725,92,7063,425,219,69837,529,19505,969,1131,1190,26133,22,1300427
Fri Oct 09 13:50:11 2020,24201,963,723231,40,204,424725,92,7063,425,219,69837,529,19505,969,1147,1190,26133,22,1300495
Tue Oct 13 10:44:06 2020,24214,964,723232,40,204,424725,92,7064,426,221,69837,531,19506,970,1151,1190,26135,22,1300524
Wed Oct 14 10:43:36 2020,24214,965,723247,40,204,424725,92,7064,427,221,69838,532,19506,971,1151,1190,26370,22,1300779
Thu Oct 15 10:45:52 2020,24225,966,723386,40,204,424725,92,7072,428,221,69841,533,19506,972,1151,1190,26383,22,1300957
Fri Oct 16 10:29:34 2020,24251,970,724351,40,204,424725,92,7113,428,221,69841,533,19506,972,1157,1190,26400,22,1302016
Mon Oct 19 11:24:54 2020,24288,970,724351,40,204,424764,92,7116,428,223,69867,534,19506,973,1157,1190,26470,22,1302195
Tue Oct 20 10:11:37 2020,24288,970,724353,40,204,424774,93,7116,429,223,69870,535,19507,974,1157,1190,26485,22,1302230
"Wed Oct 21 03:22:21 2020",24288,970,724353,40,204,424774,93,7116,429,223,69870,535,19507,974,1157,1190,26485,22,1302230
"Wed Oct 21 03:55:55 2020",24288,970,724353,40,204,424774,93,7116,429,223,69870,535,19507,974,1157,1190,26485,22,1302230
"Wed Oct 21 11:22:58 2020",24296,970,724358,40,204,424774,93,7116,429,223,69870,535,19507,974,1157,1190,26508,22,1302266
"Thu Oct 22 11:22:23 2020",24298,970,724358,40,204,425210,94,7116,429,223,69893,537,19508,976,1157,1190,26676,22,1302901
"Fri Oct 23 11:23:08 2020",24341,974,724358,40,204,425210,94,7116,429,223,69894,537,19508,976,1157,1190,26675,22,1302948
"Sun Oct 25 23:33:02 2020",24414,974,724367,40,204,425210,94,7123,431,223,69896,538,19508,978,1164,1190,26733,22,1303109
"Mon Oct 26 11:22:19 2020",24414,974,724367,40,204,425210,94,7123,431,223,69896,538,19508,978,1164,1190,26733,22,1303109
"Tue Oct 27 11:21:15 2020",24454,975,724462,40,204,425210,94,7123,432,223,69903,544,19510,991,1164,1190,26745,22,1303286
